Item Taken: Manta ray [392, 250 - position=[3082, 3505, 0]] - 2015-03-23 06:02:04.591
Item Taken: Rune bar [2364, 2 - position=[3416, 3568, 2]] - 2015-03-24 06:10:11.619
Item Taken: Proselyte hauberk [9674, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:12.217
Item Taken: Proselyte cuisse [9676, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:12.818
Item Taken: Proselyte sallet [9672, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:13.411
Item Taken: Amulet of strength [1725, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:14.018
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:15.211
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:17.617
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:18.227
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:22.418
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:30.217
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:30.818
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:31.427
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:32.611
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:33.218
Item Taken: Prayer potion (3) [139, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:33.827
Item Taken: Vial [229, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:34.418
Item Taken: Vial [229, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:35.011
Item Taken: Clue scroll (hard) [2722, 1 - position=[3416, 3567, 2]] - 2015-03-24 06:15:11.619
Item Taken: Coins [995, 224618 - position=[3413, 3574, 2]] - 2015-03-24 06:18:31.427
Item Taken: Abyssal whip [4151, 1 - position=[3413, 3574, 2]] - 2015-03-24 06:30:20.643
Item Taken: Abyssal whip [4151, 1 - position=[3410, 3574, 2]] - 2015-03-24 06:48:49.443
Item Taken: Whip vine [21369, 1 - position=[3410, 3574, 2]] - 2015-03-24 07:14:51.249
Item Taken: Abyssal whip [4151, 1 - position=[3423, 3572, 2]] - 2015-03-24 16:57:44.426
Item Taken: Rune bar [2364, 1 - position=[3425, 3574, 2]] - 2015-03-24 17:14:39.626
Item Taken: Dragon spear [1249, 1 - position=[3410, 3574, 2]] - 2015-03-24 20:21:29.591
Item Taken: Rune bar [2364, 1 - position=[3413, 3574, 2]] - 2015-03-24 20:25:09.192
Item Taken: Dragon med helm [1149, 1 - position=[3410, 3574, 2]] - 2015-03-24 20:27:15.204
Item Taken: Yew logs [1516, 36 - position=[3413, 3574, 2]] - 2015-03-24 20:58:55.364
Item Taken: Tokkul [6529, 5 - position=[2449, 5169, 0]] - 2015-03-24 22:28:10.411
Item Taken: Tokkul [6529, 5 - position=[2449, 5144, 0]] - 2015-03-24 22:28:36.220
Item Taken: Tokkul [6529, 43 - position=[2443, 5143, 0]] - 2015-03-24 22:28:41.019
Item Taken: Tokkul [6529, 18 - position=[2443, 5143, 0]] - 2015-03-24 22:29:11.611
Item Taken: Tokkul [6529, 38 - position=[2443, 5143, 0]] - 2015-03-24 22:29:45.811
Item Taken: Tokkul [6529, 5 - position=[2443, 5143, 0]] - 2015-03-24 22:30:17.011
Item Taken: Tokkul [6529, 5 - position=[2443, 5143, 0]] - 2015-03-24 22:30:28.411
Item Taken: Tokkul [6529, 55 - position=[2443, 5143, 0]] - 2015-03-24 22:30:57.811
Item Taken: Obsidian cape [10636, 1 - position=[2443, 5143, 0]] - 2015-03-24 22:30:59.019
Item Taken: Tokkul [6529, 55 - position=[2443, 5143, 0]] - 2015-03-24 22:31:29.027
Item Taken: Tokkul [6529, 65 - position=[2443, 5143, 0]] - 2015-03-24 22:32:05.627
Item Taken: Tokkul [6529, 18 - position=[2443, 5143, 0]] - 2015-03-24 22:32:41.619
Item Taken: Tokkul [6529, 5 - position=[2443, 5143, 0]] - 2015-03-24 22:33:34.420
Item Taken: Tokkul [6529, 10 - position=[2443, 5143, 0]] - 2015-03-24 22:34:20.059
Item Taken: Tokkul [6529, 13 - position=[2443, 5143, 0]] - 2015-03-24 22:34:44.627
Item Taken: Tokkul [6529, 30 - position=[2443, 5143, 0]] - 2015-03-24 22:35:24.288
Item Taken: Tokkul [6529, 5 - position=[2443, 5143, 0]] - 2015-03-24 22:35:58.459
Item Taken: Crimson charm [12160, 1 - position=[2443, 5143, 0]] - 2015-03-24 22:36:35.058
Item Taken: Tokkul [6529, 5 - position=[2443, 5143, 0]] - 2015-03-24 22:36:38.057
Item Taken: Tokkul [6529, 58 - position=[2443, 5143, 0]] - 2015-03-24 22:38:05.620
Item Taken: Tokkul [6529, 45 - position=[2443, 5143, 0]] - 2015-03-24 22:39:12.227
Item Taken: Tokkul [6529, 15 - position=[2443, 5143, 0]] - 2015-03-24 22:40:09.821
Item Taken: Tokkul [6529, 35 - position=[2443, 5143, 0]] - 2015-03-24 22:41:28.420
Item Taken: Onyx bolts (e) [9245, 10 - position=[2443, 5143, 0]] - 2015-03-24 22:41:57.862
Item Taken: Tokkul [6529, 5 - position=[2443, 5143, 0]] - 2015-03-24 22:41:59.058
Item Taken: Tokkul [6529, 5 - position=[2443, 5143, 0]] - 2015-03-24 22:42:29.627
Item Taken: Tokkul [6529, 13 - position=[2443, 5143, 0]] - 2015-03-24 22:43:06.848
Item Taken: Tokkul [6529, 88 - position=[2443, 5143, 0]] - 2015-03-24 22:44:29.648
Item Taken: Tokkul [6529, 23 - position=[2443, 5143, 0]] - 2015-03-24 22:45:45.821
Item Taken: Tokkul [6529, 15 - position=[2443, 5143, 0]] - 2015-03-24 22:47:11.621
Item Taken: Tokkul [6529, 45 - position=[2443, 5143, 0]] - 2015-03-24 22:48:11.627
Item Taken: Tokkul [6529, 25 - position=[2443, 5143, 0]] - 2015-03-24 22:48:57.821
Item Taken: Tokkul [6529, 5 - position=[2443, 5143, 0]] - 2015-03-24 22:49:23.027
Item Taken: Tokkul [6529, 25 - position=[2443, 5143, 0]] - 2015-03-24 22:50:09.858
Item Taken: Tokkul [6529, 40 - position=[2443, 5143, 0]] - 2015-03-24 22:51:31.449
Item Taken: Tokkul [6529, 70 - position=[2443, 5143, 0]] - 2015-03-24 22:53:07.422
Item Taken: Tzhaar-ket-om [6528, 1 - position=[2443, 5143, 0]] - 2015-03-24 23:01:44.249
Item Taken: Tokkul [6529, 10 - position=[2443, 5143, 0]] - 2015-03-24 23:01:47.858
Item Taken: Tokkul [6529, 10 - position=[2443, 5143, 0]] - 2015-03-24 23:01:49.646
Item Taken: Tzhaar-ket-om [6528, 1 - position=[2443, 5143, 0]] - 2015-03-24 23:02:00.449
Item Taken: Toktz-ket-xil [6524, 1 - position=[2443, 5143, 0]] - 2015-03-24 23:02:13.664
Item Taken: Tokkul [6529, 35 - position=[2443, 5143, 0]] - 2015-03-24 23:03:19.058
Item Taken: Tokkul [6529, 20 - position=[2443, 5143, 0]] - 2015-03-24 23:03:52.064
Item Taken: Tokkul [6529, 50 - position=[2443, 5143, 0]] - 2015-03-24 23:05:04.058
Item Taken: Tokkul [6529, 15 - position=[2443, 5143, 0]] - 2015-03-24 23:06:37.679
Item Taken: Uncut sapphire [1624, 1 - position=[3425, 3550, 1]] - 2015-03-24 23:16:14.264
Item Taken: Toktz-ket-xil [6524, 1 - position=[2456, 5160, 0]] - 2015-03-25 05:47:33.696
Item Taken: Tokkul [6529, 38 - position=[2458, 5159, 0]] - 2015-03-25 05:48:00.694
Item Taken: Tokkul [6529, 35 - position=[2458, 5159, 0]] - 2015-03-25 05:48:28.895
Item Taken: Tokkul [6529, 50 - position=[2458, 5160, 0]] - 2015-03-25 05:48:31.294
Item Taken: Tokkul [6529, 35 - position=[2458, 5160, 0]] - 2015-03-25 05:48:32.496
Item Taken: Tokkul [6529, 5 - position=[2458, 5159, 0]] - 2015-03-25 05:49:04.894
Item Taken: Tokkul [6529, 5 - position=[2456, 5160, 0]] - 2015-03-25 05:49:08.495
Item Taken: Tokkul [6529, 23 - position=[2456, 5160, 0]] - 2015-03-25 05:49:10.295
Item Taken: Tokkul [6529, 5 - position=[2458, 5159, 0]] - 2015-03-25 05:49:33.095
Item Taken: Tokkul [6529, 5 - position=[2458, 5160, 0]] - 2015-03-25 05:49:54.096
Item Taken: Tokkul [6529, 28 - position=[2458, 5159, 0]] - 2015-03-25 05:50:16.911
Item Taken: Tokkul [6529, 13 - position=[2456, 5160, 0]] - 2015-03-25 05:50:37.295
Item Taken: Tokkul [6529, 5 - position=[2456, 5160, 0]] - 2015-03-25 05:51:09.111
Item Taken: Tokkul [6529, 5 - position=[2458, 5159, 0]] - 2015-03-25 05:51:23.511
Item Taken: Tokkul [6529, 5 - position=[2458, 5159, 0]] - 2015-03-25 05:51:26.511
Item Taken: Tokkul [6529, 5 - position=[2458, 5159, 0]] - 2015-03-25 05:52:02.495
Item Taken: Tokkul [6529, 10 - position=[2456, 5160, 0]] - 2015-03-25 05:52:53.511
Item Taken: Tokkul [6529, 5 - position=[2455, 5160, 0]] - 2015-03-25 05:53:37.895
Item Taken: Tokkul [6529, 28 - position=[2458, 5159, 0]] - 2015-03-25 05:54:42.711
Item Taken: Tokkul [6529, 85 - position=[2456, 5160, 0]] - 2015-03-25 05:55:54.711
Item Taken: Tokkul [6529, 10 - position=[2456, 5160, 0]] - 2015-03-25 05:57:18.096
Item Taken: Tokkul [6529, 10 - position=[2458, 5159, 0]] - 2015-03-25 05:57:19.911
Item Taken: Tokkul [6529, 33 - position=[2458, 5159, 0]] - 2015-03-25 05:59:00.095
Item Taken: Tokkul [6529, 5 - position=[2458, 5159, 0]] - 2015-03-25 05:59:39.111
Item Taken: Tokkul [6529, 20 - position=[2456, 5160, 0]] - 2015-03-25 05:59:48.111
Item Taken: Tokkul [6529, 20 - position=[2456, 5160, 0]] - 2015-03-25 06:00:19.895
Item Taken: Tokkul [6529, 5 - position=[2457, 5160, 0]] - 2015-03-25 06:00:34.911
Item Taken: Tokkul [6529, 5 - position=[2456, 5160, 0]] - 2015-03-25 06:00:52.294
Item Taken: Tokkul [6529, 10 - position=[2458, 5159, 0]] - 2015-03-25 06:02:03.708
Item Taken: Tokkul [6529, 10 - position=[2456, 5160, 0]] - 2015-03-25 06:02:06.110
Item Taken: Coins [995, 187433 - position=[3413, 3574, 2]] - 2015-03-25 06:07:22.911
Item Taken: Rune kiteshield [1202, 1 - position=[3410, 3574, 2]] - 2015-03-25 06:16:46.311
Item Taken: Coins [995, 153360 - position=[3413, 3574, 2]] - 2015-03-25 06:34:00.126
Item Taken: Big bones [533, 10 - position=[3425, 3548, 2]] - 2015-03-25 06:44:07.332
Item Taken: Big bones [533, 13 - position=[3425, 3548, 2]] - 2015-03-25 06:50:25.942
Item Taken: Adamant bar [2362, 1 - position=[3423, 3548, 2]] - 2015-03-25 06:52:40.339
